"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV917","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptoniphilus","g__NA","s__NA"
"ASV918","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_FCS020_group","s__NA"
"ASV919","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__NA"
"ASV920","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__NA","s__NA"
"ASV921","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV922","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV923","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Parvimonas","g__NA","s__NA"
"ASV924","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV925","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__NA"
"ASV926","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Pseudobutyrivibrio","s__NA"
"ASV927","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_hallii_group","s__NA"
"ASV928","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__NA"
"ASV929","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__NA","s__NA"
"ASV930","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-004","s__NA"
"ASV931","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_ND3007_group","s__NA"
"ASV932","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV933","k__Bacteria","p__Firmicutes","c__Bacilli","o__Izemoplasmatales","f__NA","g__NA","s__NA"
"ASV934","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__NA"
"ASV935","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV936","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__NA"
"ASV937","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__NA"
"ASV938","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV939","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Epulopiscium","s__NA"
"ASV940","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Solobacterium","s__moorei"
"ASV941","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Mogibacterium","s__pumilum"
"ASV942","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__NA"
"ASV943","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-004","s__NA"
"ASV944","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","s__formicigenerans"
"ASV945","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__NA","s__NA"
"ASV946","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__[Eubacterium]_brachy_group","s__NA"
"ASV947","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV948","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV949","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__NA"
"ASV950","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillibacter","s__NA"
"ASV951","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Shuttleworthia","s__NA"
"ASV952","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group","s__NA"
"ASV953","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__NA"
"ASV954","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__NA","s__NA"
"ASV955","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Catabacter","s__NA"
"ASV956","k__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__NA"
"ASV957","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV958","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV959","k__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__NA","g__NA","s__NA"
"ASV961","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Pseudoflavonifractor","s__NA"
"ASV962","k__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__NA","g__NA","s__NA"
"ASV963","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__NA","s__NA"
"ASV964","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__glucerasea"
"ASV965","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Fusicatenibacter","s__NA"
"ASV966","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_torques_group","s__NA"
"ASV967","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-010","s__NA"
"ASV968","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Merdibacter","s__NA"
"ASV969","k__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__DNF00809","s__NA"
"ASV970","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Bacteroides]_pectinophilus_group","s__NA"
"ASV971","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-004","s__NA"
"ASV972","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__NA"
"ASV973","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Flavonifractor","s__NA"
"ASV974","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV975","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis","s__NA"
"ASV976","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-007","s__NA"
"ASV977","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__NA","s__NA"
"ASV978","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV979","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-001","s__bacterium"
"ASV980","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillibacter","s__NA"
"ASV981","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__NA"
"ASV982","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__NA","g__NA","s__NA"
"ASV983","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV984","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__NA"
"ASV985","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__NA","g__NA","s__NA"
"ASV986","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__NA"
"ASV987","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Catenibacillus","s__NA"
"ASV988","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenella","s__minuta"
"ASV989","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV990","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__eutactus"
"ASV991","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV992","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Anaerotruncus","s__colihominis"
"ASV993","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV994","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__NA","s__NA"
"ASV995","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV996","k__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Enterorhabdus","s__NA"
"ASV997","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Phocea","s__NA"
"ASV998","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillospira","s__NA"
"ASV999","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1000","k__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__NA","g__NA","s__NA"
"ASV1001","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__NA","s__NA"
"ASV1002","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__NA"
"ASV1003","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_gauvreauii_group","s__NA"
"ASV1004","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Sellimonas","s__NA"
"ASV1006","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_ND3007_group","s__NA"
"ASV1007","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV1008","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__NA","s__NA"
"ASV1009","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Sporobacter","s__NA"
"ASV1010","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis","s__NA"
"ASV1011","k__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__NA"
"ASV1012","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Colidextribacter","s__massiliensis"
"ASV1013","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-007","s__NA"
"ASV1014","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__Butyricicoccus","s__NA"
"ASV1015","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV1016","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Actimicrobium","s__NA"
"ASV1017","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__UCG-008","s__NA"
"ASV1018","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__UCG-008","s__NA"
"ASV1019","k__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Atopobium","s__NA"
"ASV1020","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum","s__NA"
"ASV1021","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV1022","k__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__NA","g__NA","s__NA"
"ASV1023","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1024","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Intestinibacter","s__NA"
"ASV1025","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__NA"
"ASV1026","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Parvimonas","g__NA","s__NA"
"ASV1027","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV1028","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Raoultella","s__planticola"
"ASV1029","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__comes"
"ASV1030","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_torques_group","s__NA"
"ASV1031","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__NA"
"ASV1032","k__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__NA"
"ASV1033","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__NA","g__NA","s__NA"
"ASV1034","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__NA"
"ASV1035","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Anaerotruncus","s__NA"
"ASV1036","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_hallii_group","s__NA"
"ASV1037","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium_sensu_stricto_1","s__paraputrificum"
"ASV1038","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Marvinbryantia","s__NA"
"ASV1039","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__NA","s__NA"
"ASV1040","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1041","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__NA"
"ASV1042","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__NA","g__NA","s__NA"
"ASV1043","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__NA","s__NA"
"ASV1044","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Shuttleworthia","s__NA"
"ASV1045","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Romboutsia","s__ilealis"
"ASV1046","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV1047","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis","s__NA"
"ASV1048","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV1049","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__Peptococcus","s__NA"
"ASV1050","k__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__NA","g__NA","s__NA"
"ASV1051","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","s__NA"
"ASV1052","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__NA"
"ASV1053","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Colidextribacter","s__NA"
"ASV1055","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__comes"
"ASV1056","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Puniceicoccaceae","g__NA","s__NA"
"ASV1057","k__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__NA"
"ASV1058","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Hungatella","s__NA"
"ASV1059","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Anaerofustaceae","g__Anaerofustis","s__NA"
"ASV1060","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__NA","g__NA","s__NA"
"ASV1061","k__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__NA"
"ASV1062","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Candidatus_Soleaferrea","s__NA"
"ASV1063","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lactonifactor","s__NA"
"ASV1064","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV1065","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Fenollaria","g__NA","s__NA"
"ASV1066","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV1067","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV1068","k__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__NA","s__NA"
"ASV1069","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__[Eubacterium]_nodatum_group","s__sulci"
"ASV1070","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__NA"
"ASV1071","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__GCA-900066575","s__NA"
"ASV1072","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__NA","s__NA"
"ASV1073","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculum","s__NA"
"ASV1074","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__NA","g__NA","s__NA"
"ASV1075","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV1076","k__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella","s__massiliensis"
"ASV1077","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1078","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1079","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__UCG-008","s__NA"
"ASV1080","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV1081","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Puniceicoccaceae","g__NA","s__NA"
"ASV1082","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__NA"
"ASV1083","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillospira","s__NA"
"ASV1084","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Sellimonas","s__NA"
"ASV1085","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__NA"
"ASV1086","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1087","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__NA","g__NA","s__NA"
"ASV1088","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1089","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__[Eubacterium]_siraeum_group","s__siraeum"
"ASV1090","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV1091","k__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__NA","g__NA","s__NA"
"ASV1092","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-001","s__bacterium"
"ASV1093","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV1094","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__NA","g__NA","s__NA"
"ASV1095","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV1096","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__NA","s__NA"
"ASV1097","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospira","s__NA"
"ASV1098","k__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__NA","g__NA","s__NA"
"ASV1099","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV1100","k__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__NA","g__NA","s__NA"
"ASV1101","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV1102","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV1103","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__NA"
"ASV1104","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillospira","s__NA"
"ASV1105","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__bivia"
"ASV1106","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV1107","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__naeslundii"
"ASV1108","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis","s__NA"
"ASV1109","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__NA"
"ASV1110","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Anaerotruncus","s__NA"
"ASV1111","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Harryflintia","s__NA"
"ASV1112","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__NA"
"ASV1113","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__NA","g__NA","s__NA"
"ASV1114","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas","s__NA"
"ASV1115","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__Butyricicoccus","s__NA"
"ASV1116","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1117","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__NA","s__NA"
"ASV1118","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas","s__NA"
"ASV1119","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__NA","g__NA","s__NA"
"ASV1120","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Defluviitaleaceae","g__Defluviitaleaceae_UCG-011","s__NA"
"ASV1121","k__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__NA"
"ASV1122","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_torques_group","s__NA"
